Amount Debited,Source / Destination,Date
122.0,OLD NAVY CA 5462,2022/07/19
11.86,Subway 13326,2022/07/19
42.38,BIG SMOKE BURGER,2022/07/24
15.0,SQ FAB FACES BY FIONNA,2022/07/24
28.24,WINNERSHOMESENSE 361158,2022/07/25
39.86,ESSO CIRCLE K,2022/07/25
23.94,SHOPPERS DRUG MART 0779,2022/07/25
25.06,WALMART STORE 3054,2022/07/25
20.32,METRO  854,2022/07/26
56.48,HUDSONS BAY 1523,2022/07/27
33.56,KID TO KID,2022/07/27
27.53,METRO  854,2022/07/29
33.29,PITABOSS,2022/07/30
49.69,RCSS 1080,2022/08/01
16.66,METRO  854,2022/08/02
80.83,RCSS 1080,2022/08/03
21.67,METRO  854,2022/08/05
15.0,SQ MJ CATERING,2022/08/06
20.75,SQ ONTARIO CORN ROASTERS,2022/08/06
10.0,TICKETPRO 8889050070,2022/08/06
14.69,Funnel Cake Express,2022/08/07
15.39,METRO  854,2022/08/07
47.63,ESSO CIRCLE K,2022/08/07
66.39,RCSS 1080,2022/08/09
17.22,DOLLARAMA  840,2022/08/09
9.23,RCSS 1080,2022/08/11
6.5,TORONTO DON VALLEY HOTEL,2022/08/11
6.98,TIM HORTONS 3253,2022/08/11
36.2,METRO  854,2022/08/12
21.0,SQ PALMA PASTA CORP,2022/08/13
14.0,SQ FESTIVAL FOOD INC,2022/08/13
10.53,RCSS 1080,2022/08/13
9.03,NOFRILLS TOMMICHELLE,2022/08/14
23.63,PIZZA NOVA 065,2022/08/16
32.43,RCSS 1080,2022/08/16
63.29,WALMART STORE 3054,2022/08/16
48.32,ESSO CIRCLE K,2022/08/17
6.98,TIM HORTONS 3253,2022/08/18
45.76,SQ JOURNEYS CUISINE INC,2022/08/18
61.77,LOBLAW RCSS 1080,2022/08/18
24.98,METRO  854,2022/08/19
2.92,TIM HORTONS 4365,2022/08/20
12.29,BULK BARN 545 MISSISSA,2022/08/21
6.98,TIM HORTONS 1405,2022/08/22
36.3,ESSO CIRCLE K,2022/08/22
113.89,RCSS 1080,2022/08/23
6.98,TIM HORTONS 3253,2022/08/24
5.65,TORONTO DON VALLEY HOTEL,2022/08/24
15.99,METRO  854,2022/08/25
8.24,Subway 15423,2022/08/25
9.73,BULK BARN 545 MISSISSA,2022/08/25
65.08,RCSS 1080,2022/08/25
9.59,RCSS 1080,2022/08/26
35.0,BRADFORD HUSKY TC,2022/08/26
32.620000000000005,BK 24865,2022/08/26
21.04,COLLINS VALUMART 832,2022/08/27
5.0,GYPSY WHOLE FOODS WAREHOU,2022/08/27
19.5,LCBORAO 0232,2022/08/27
9.69,TIM HORTONS 3640,2022/08/29
49.13,ESSO CIRCLE K,2022/08/29
69.22,WALMART STORE 3054,2022/08/29
14.83,METRO  854,2022/08/30
31.08,PHO MI 289 VIETNAMESE RES,2022/08/31
64.44,RCSS 1080,2022/09/02
23.88,CHARLIES WEST,2022/09/03
7.25,MANILA BAKERYVARIETY,2022/09/03
58.0,DANFORTH FOOD MARKET,2022/09/03
16.94,CLORE BEAUTY SUPPLY,2022/09/03
58.45,RCSS 1080,2022/09/06
24.56,METRO  854,2022/09/06
40.69,ESSO CIRCLE K,2022/09/07
6.53,TIM HORTONS 3253,2022/09/07
2.0,AIR SERV A PS606645,2022/09/07
16.91,Subway 23972,2022/09/09
